iter	Passed	Remaining
411	3185	4546
412	3194	4539
413	3203	4534
414	3213	4529
415	3221	4522
416	3228	4514
417	3236	4506
418	3245	4500
419	3252	4492
420	3262	4486
421	3268	4476
422	3274	4467
423	3282	4458
424	3290	4451
425	3296	4442
426	3302	4431
427	3310	4424
428	3319	4417
429	3327	4410
430	3335	4403
431	3342	4394
432	3349	4386
433	3356	4377
434	3363	4369
435	3372	4362
436	3379	4353
437	3387	4346
438	3394	4338
439	3403	4331
440	3411	4323
441	3419	4316
442	3427	4309
443	3437	4304
444	3444	4296
445	3452	4289
446	3459	4279
447	3467	4271
448	3474	4263
449	3481	4255
450	3488	4246
451	3495	4238
452	3503	4230
453	3510	4221
454	3516	4212
455	3524	4204
456	3533	4198
457	3541	4190
458	3549	4183
459	3556	4175
460	3564	4167
461	3571	4158
462	3579	4151
463	3586	4142
464	3593	4134
465	3600	4125
466	3608	4118
467	3615	4110
468	3623	4102
469	3630	4094
470	3638	4086
471	3644	4077
472	3651	4068
473	3661	4062
474	3668	4054
475	3675	4046
476	3683	4038
477	3690	4029
478	3697	4022
479	3706	4015
480	3714	4007
481	3723	4001
482	3730	3992
483	3737	3985
484	3744	3976
485	3752	3969
486	3760	3960
487	3768	3954
488	3775	3945
489	3782	3936
490	3788	3927
491	3793	3917
492	3800	3908
493	3805	3898
494	3813	3890
495	3819	3881
496	3824	3870
497	3830	3861
498	3834	3850
499	3840	3840
500	3851	3835
501	3858	3827
502	3866	3820
503	3873	3812
504	3880	3803
505	3887	3794
506	3893	3786
507	3904	3781
508	3908	3770
509	3914	3760
510	3917	3748
511	3921	3737
512	3925	3726
513	3932	3717
514	3936	3707
515	3941	3697
516	3946	3686
517	3949	3675
518	3953	3663
519	3958	3653
520	3962	3642
521	3965	3631
522	3969	3619
523	3972	3608
524	3978	3599
525	3981	3588
526	3985	3577
527	3990	3567
528	3994	3556
529	3998	3545
530	4001	3534
531	4007	3525
532	4010	3514
533	4015	3504
534	4018	3493
535	4025	3484
536	4029	3473
537	4034	3464
538	4040	3455
539	4043	3444
540	4047	3434
541	4052	3424
542	4057	3414
543	4061	3404
544	4065	3393
545	4070	3384
546	4074	3373
547	4078	3364
548	4081	3353
549	4087	3344
550	4091	3333
551	4094	3323
552	4098	3313
553	4103	3303
554	4108	3294
555	4111	3283
556	4115	3273
557	4120	3264
558	4124	3254
559	4128	3243
560	4131	3232
561	4137	3224
562	4141	3214
563	4145	3204
564	4149	3194
565	4154	3185
566	4157	3174
567	4161	3164
568	4165	3154
569	4169	3145
570	4172	3135
571	4176	3124
572	4181	3115
573	4184	3105
574	4188	3096
575	4192	3086
576	4198	3077
577	4202	3068
578	4206	3058
579	4210	3048
580	4217	3041
581	4221	3032
582	4225	3022
583	4233	3015
584	4238	3006
585	4241	2996
586	4247	2988
587	4251	2978
588	4257	2970
589	4262	2961
590	4266	2952
591	4270	2943
592	4275	2934
593	4281	2926
594	4285	2916
595	4291	2908
596	4297	2901
597	4302	2892
598	4306	2882
599	4312	2874
600	4316	2865
601	4321	2856
602	4326	2848
603	4332	2840
604	4336	2831
605	4339	2821
606	4345	2813
607	4350	2804
608	4354	2795
609	4360	2788
610	4365	2779
611	4369	2770
612	4374	2761
613	4378	2752
614	4382	2743
615	4386	2734
616	4391	2726
617	4395	2717
618	4399	2707
619	4402	2698
620	4406	2689
621	4410	2680
622	4414	2671
623	4418	2662
624	4422	2653
625	4427	2645
626	4431	2636
627	4434	2627
628	4439	2618
629	4443	2609
630	4446	2600
631	4450	2591
632	4455	2583
633	4459	2574
634	4462	2565
635	4466	2556
636	4471	2548
637	4475	2539
638	4480	2531
639	4487	2524
640	4494	2517
641	4500	2509
642	4505	2501
643	4510	2493
644	4514	2484
645	4519	2476
646	4524	2468
647	4528	2460
648	4533	2451
649	4537	2443
650	4541	2434
651	4546	2426
652	4551	2418
653	4555	2410
654	4559	2401
655	4563	2393
656	4569	2385
657	4573	2377
658	4577	2368
659	4584	2361
660	4588	2353
661	4593	2345
662	4599	2337
663	4604	2329
664	4609	2322
665	4615	2314
666	4620	2306
667	4624	2298
668	4629	2290
669	4634	2282
670	4638	2274
671	4644	2267
672	4649	2259
673	4655	2251
674	4662	2244
675	4668	2237
676	4675	2230
677	4686	2225
678	4694	2219
679	4699	2211
680	4704	2203
681	4713	2197
682	4720	2191
683	4727	2183
684	4731	2175
685	4736	2168
686	4741	2160
687	4746	2152
688	4749	2144
689	4754	2136
690	4759	2128
691	4763	2120
692	4768	2112
693	4771	2103
694	4777	2096
695	4782	2088
696	4786	2080
697	4791	2073
698	4795	2064
699	4798	2056
700	4803	2048
701	4808	2041
702	4813	2033
703	4817	2025
704	4823	2018
705	4827	2010
706	4832	2002
707	4835	1994
708	4841	1987
709	4845	1979
710	4850	1971
711	4854	1963
712	4860	1956
713	4864	1948
714	4867	1940
715	4872	1932
716	4876	1924
717	4879	1916
718	4884	1908
719	4889	1901
720	4893	1893
721	4897	1885
722	4903	1878
723	4907	1870
724	4912	1863
725	4917	1855
726	4922	1848
727	4926	1840
728	4930	1832
729	4934	1825
730	4938	1817
731	4941	1809
732	4944	1801
733	4948	1793
734	4951	1785
735	4955	1777
736	4958	1769
737	4961	1761
738	4966	1754
739	4969	1746
740	4972	1738
741	4976	1730
742	4980	1722
743	4983	1714
744	4987	1707
745	4990	1699
746	4994	1691
747	4998	1684
748	5001	1676
749	5004	1668
750	5008	1660
751	5012	1652
752	5015	1645
753	5018	1637
754	5022	1629
755	5025	1621
756	5029	1614
757	5032	1606
758	5036	1599
759	5039	1591
760	5042	1583
761	5046	1576
762	5049	1568
763	5054	1561
764	5059	1554
765	5063	1546
766	5066	1539
767	5069	1531
768	5073	1523
769	5077	1516
770	5080	1509
771	5083	1501
772	5087	1493
773	5090	1486
774	5094	1479
775	5098	1471
776	5102	1464
777	5105	1456
778	5109	1449
779	5113	1442
780	5116	1434
781	5120	1427
782	5124	1420
783	5128	1412
784	5131	1405
785	5135	1398
786	5139	1390
787	5143	1383
788	5147	1376
789	5151	1369
790	5156	1362
791	5160	1355
792	5163	1347
793	5167	1340
794	5171	1333
795	5174	1326
796	5178	1318
797	5181	1311
798	5185	1304
799	5190	1297
800	5193	1290
801	5197	1283
802	5200	1275
803	5205	1269
804	5209	1262
805	5215	1255
806	5220	1248
807	5224	1241
808	5227	1234
809	5230	1226
810	5234	1219
811	5237	1212
812	5241	1205
813	5244	1198
814	5247	1191
815	5251	1184
816	5255	1177
817	5258	1169
818	5261	1162
819	5264	1155
820	5269	1148
821	5272	1141
822	5276	1134
823	5279	1127
824	5283	1120
825	5287	1113
826	5290	1106
827	5293	1099
828	5297	1092
829	5301	1085
830	5304	1078
831	5308	1071
832	5312	1064
833	5318	1058
834	5321	1051
835	5324	1044
836	5328	1037
837	5332	1030
838	5335	1023
839	5339	1017
840	5342	1010
841	5347	1003
842	5350	996
843	5354	989
844	5357	982
845	5362	976
846	5366	969
847	5369	962
848	5373	955
849	5376	948
850	5381	942
851	5384	935
852	5388	928
853	5392	921
854	5396	915
855	5400	908
856	5403	901
857	5406	894
858	5410	888
859	5414	881
860	5417	874
861	5421	867
862	5424	861
863	5428	854
864	5431	847
865	5435	841
866	5438	834
867	5446	828
868	5449	821
869	5453	814
870	5457	808
871	5461	801
872	5464	794
873	5467	788
874	5470	781
875	5475	775
876	5478	768
877	5482	761
878	5485	755
879	5489	748
880	5493	741
881	5496	735
882	5500	728
883	5503	722
884	5507	715
885	5510	709
886	5515	702
887	5519	696
888	5524	689
889	5528	683
890	5532	676
891	5535	670
892	5540	663
893	5543	657
894	5547	650
895	5550	644
896	5554	637
897	5558	631
898	5561	624
899	5564	618
900	5567	611
901	5572	605
902	5576	598
903	5579	592
904	5582	586
905	5587	579
906	5590	573
907	5594	566
908	5598	560
909	5603	554
910	5607	547
911	5612	541
912	5615	535
913	5620	528
914	5625	522
915	5628	516
916	5635	510
917	5640	503
918	5644	497
919	5650	491
920	5654	485
921	5659	478
922	5665	472
923	5670	466
924	5674	460
925	5682	454
926	5688	447
927	5693	441
928	5701	435
929	5711	429
930	5722	424
931	5729	417
932	5737	412
933	5743	405
934	5748	399
935	5753	393
936	5760	387
937	5765	381
938	5770	374
939	5779	368
940	5784	362
941	5793	356
942	5801	350
943	5809	344
944	5815	338
945	5824	332
946	5831	326
947	5839	320
948	5848	314
949	5858	308
950	5866	302
951	5875	296
952	5880	290
953	5888	283
954	5893	277
955	5897	271
956	5907	265
957	5914	259
958	5924	253
959	5931	247
960	5940	241
961	5946	234
962	5956	228
963	5964	222
964	5971	216
965	5978	210
966	5985	204
967	5990	198
968	5998	191
969	6005	185
970	6013	179
971	6021	173
972	6028	167
973	6034	161
974	6039	154
975	6045	148
976	6051	142
977	6058	136
978	6066	130
979	6073	123
980	6084	117
981	6093	111
982	6102	105
983	6111	99
984	6120	93
985	6129	87
986	6133	80
987	6137	74
988	6146	68
989	6150	62
990	6156	55
991	6163	49
992	6167	43
993	6176	37
994	6180	31
995	6185	24
996	6191	18
997	6197	12
998	6201	6
999	6209	0
