iter	Logloss
0	0.6828079224
1	0.6730761719
2	0.6643476105
3	0.6566738892
4	0.6490187073
5	0.6404799652
6	0.6313841248
7	0.624125061
8	0.6169326782
9	0.6100223923
10	0.60212883
11	0.5942606354
12	0.5872008896
13	0.580096817
14	0.571724472
15	0.5648387909
16	0.5573532867
17	0.5513511658
18	0.5461603546
19	0.5392411041
20	0.5313273239
21	0.5267749786
22	0.5208411407
23	0.5163542175
24	0.5104618073
25	0.505487442
26	0.5005672073
27	0.4941785431
28	0.4897199631
29	0.4851305771
30	0.4804543304
31	0.4747618866
32	0.4694708252
33	0.4655547333
34	0.4612958527
35	0.4567791748
36	0.4522193527
37	0.4473297119
38	0.4440808105
39	0.4402608871
40	0.4362779617
41	0.4325706482
42	0.4285967255
43	0.4249909592
44	0.4214703369
45	0.4188613129
46	0.4150335693
47	0.4119734955
48	0.408488884
49	0.4039585495
50	0.4020313644
51	0.3995260239
52	0.3968474579
53	0.3930691528
54	0.3900544739
55	0.3865981293
56	0.3838136292
57	0.3808462143
58	0.3778433228
59	0.3764922333
60	0.3734196472
61	0.3709073639
62	0.3680915833
63	0.3646045303
64	0.3628111267
65	0.3602225876
66	0.3574925995
67	0.3552380753
68	0.352943573
69	0.3504003525
70	0.3483340454
71	0.3472345352
72	0.3448638153
73	0.3427151489
74	0.3407655334
75	0.3390935135
76	0.3374501038
77	0.3354692841
78	0.3335966492
79	0.3317995834
80	0.3296866989
81	0.3282426453
82	0.3259449387
83	0.3249024963
84	0.3235835648
85	0.3223332977
86	0.3212002563
87	0.3191374016
88	0.3179899979
89	0.3160347748
90	0.3146972084
91	0.3134171867
92	0.3119508743
93	0.3104271889
94	0.3088405609
95	0.3075112534
96	0.305904274
97	0.3047097778
98	0.3033972168
99	0.3024573135
100	0.3008740616
101	0.2996984482
102	0.2983579636
103	0.297176857
104	0.2960464859
105	0.2950116539
106	0.2935059357
107	0.292383194
108	0.2908190155
109	0.289426384
110	0.2882930374
111	0.2873666763
112	0.2863528061
113	0.2853067207
114	0.2843767929
115	0.2836466026
116	0.2827965736
117	0.2822751045
118	0.2812531471
119	0.2804066849
120	0.2792152023
121	0.2784674835
122	0.2776662827
123	0.2766324234
124	0.2759650803
125	0.2754236031
126	0.2745740128
127	0.2739542007
128	0.2731514359
129	0.272352314
130	0.2715778351
131	0.2708659554
132	0.2698073006
133	0.2688844109
134	0.2678755188
135	0.2672465134
136	0.2666401482
137	0.2656134033
138	0.2649450302
139	0.2639547348
140	0.2634247017
141	0.2628439713
142	0.2617441559
143	0.2606141663
144	0.2600907898
145	0.2594194984
146	0.2587634659
147	0.2581010056
148	0.257664032
149	0.2569073105
150	0.2562375832
151	0.2555882263
